[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- index.html
	- menu.html
	- menu
	- top.html

[GIN-debug] GET    /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /top                      --> github.com/TomSuzuki/recipe-wiki/pkg/controller.TopPageController (3 handlers)
[GIN-debug] GET    /                         --> github.com/TomSuzuki/recipe-wiki/pkg/controller.TopPageController (3 handlers)
[GIN-debug] Listening and serving HTTP on :8220
[GIN] 2021/02/17 - 22:48:00 | 200 |       999.7µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:00 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:00 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:00 | 200 |       999.9µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:00 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:03 | 200 |      1.0097ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:03 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:03 | 404 |         999µs |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0016ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:17 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0004ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:17 | 200 |      1.0004ms |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:17 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:29 | 200 |      1.0003ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:29 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:29 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:33 | 200 |       997.7µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:33 | 200 |       999.8µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:33 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:33 | 200 |      1.0041ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:33 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:48:51 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:48:51 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:48:51 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:48:51 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:48:51 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:49:02 | 200 |      1.0004ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:49:02 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:49:02 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:49:02 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:49:02 | 404 |       999.6µs |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:49:06 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:49:06 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:49:06 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:49:06 | 200 |       998.7µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:49:06 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:49:13 | 200 |       973.4µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:49:13 | 200 |       997.3µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:49:13 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:49:13 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:49:13 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:49:17 | 200 |       999.5µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:49:17 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:49:17 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:49:17 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:49:17 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:49:23 | 200 |       998.8µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:49:23 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:49:23 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:49:23 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:49:23 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:50:31 | 200 |       995.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:50:31 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:50:31 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:50:31 | 200 |       998.1µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:50:31 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:50:56 | 200 |      1.0002ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:50:56 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:50:56 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:50:56 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:50:56 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:51:07 | 200 |      1.0154ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:51:07 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:51:07 | 200 |      1.0032ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:51:07 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:51:07 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:53:30 | 200 |       998.4µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:53:30 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:53:30 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:53:30 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:53:30 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:53:43 | 200 |       999.5µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:53:43 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:53:43 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:53:43 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:53:43 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:53:48 | 200 |       998.1µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:53:48 | 200 |         997µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:53:48 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:53:48 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:53:48 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:53:53 | 200 |      1.0007ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:53:53 | 200 |      1.0008ms |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:53:53 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:53:53 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:53:53 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:54:09 | 200 |      1.0015ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:54:09 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:54:09 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:54:09 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:54:09 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:54:24 | 200 |       996.9µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:54:24 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:54:24 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:54:24 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:54:24 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:54:42 | 200 |      1.0002ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:54:42 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:54:42 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:54:42 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:54:42 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:55:02 | 200 |      1.0003ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:55:02 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:55:02 | 200 |      1.0031ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:55:02 | 200 |       1.002ms |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:55:02 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:55:30 | 200 |      1.9992ms |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:55:30 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:55:30 | 200 |      1.0005ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:55:30 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:55:30 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:55:37 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:55:37 | 200 |       998.7µs |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:55:37 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:55:37 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:55:37 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:55:48 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:55:48 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:55:48 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:55:48 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:55:48 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:06 | 200 |       998.6µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:56:06 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:56:06 | 200 |       997.6µs |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:56:06 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:56:06 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:11 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:56:11 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:56:11 | 200 |       1.005ms |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:56:11 | 200 |       994.7µs |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:56:11 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:25 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:56:25 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:56:25 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:56:25 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:56:25 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:36 | 200 |       997.8µs |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:56:36 | 200 |            0s |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:56:36 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:56:36 | 200 |            0s |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:56:36 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:41 | 200 |            0s |             ::1 | GET      "/"
[GIN] 2021/02/17 - 22:56:41 | 200 |      1.0014ms |             ::1 | GET      "/assets/css/style.css"
[GIN] 2021/02/17 - 22:56:41 | 200 |            0s |             ::1 | GET      "/assets/css/index.css"
[GIN] 2021/02/17 - 22:56:41 | 200 |      1.0019ms |             ::1 | GET      "/assets/css/menu.css"
[GIN] 2021/02/17 - 22:56:41 | 404 |            0s |             ::1 | GET      "/assets/favicon.ico"
[GIN] 2021/02/17 - 22:56:56 | 200 |       999.5µs |             ::1 | GET      "/"
